หัสลูกค้า,ชื่อลูกค้า,ประเภทลูกค้า,เลขที่เสียภาษี,ที่อยู่,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,ชื่อผู้ติดต่อ,เบอร์โทร,อีเมล์,lineId,facebook
,ร้าน พี.เจ.หนังสือ - ลพบุรี,,,160/36 หมู่ 1,,,พัฒนานิคม,ลพบุรี,,,,,,
,พัสดุคณะวิทยาศาสตร์,,,,,,,กรุงเทพมหานคร,,,,,,
,บริษัท เค.ซี.แอล. มาร์เก็ตติ้ง,,,84 หมู่ที่ 6,,,เมือง,สมุทรสาคร,,,,,,
,ร้าน บูรณะพาณิชย์,,,61-65,,,เมือง,ตราด,,,,,,
,บริษัท ฟีนิกซ์กระดาษไทย จำกัด,,,88/9-11 หมู่ 4,,,นครชัยศรี,นครปฐม,,,,,,
,ตึกอธิการบดี ชั้น 3 ส่วนพัสดุ,,,,,,,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,303 หมู่ที่ 1,,,ถลาง,ภูเก็ต,,,,,,
,ฝาง - บริษัท สยามแม็คโคร,,,61 หมู่ที่3,,,ฝาง,เชียงใหม่,,,,,,
,บริษัท แพนด้า เปเปอร์ คาร์ตันส,,,120 หมู่ที่ 3,,,พานทอง,ชลบุรี,,,,,,
,ร้าน สัตหีบมณีรักษ์,,,21/37 หมู่4 ,ซอยวัดเทพประสาท,,สัตหีบ,ชลบุรี,,,,,,
,สาขานครอินทร์ - บริษัท สยามแม็คโคร,,,60 หมู่ที่1,,,อำเภอเมืองนนทบุรี,นนทบุรี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,831,,,เขตปทุมวัน,กรุงเทพมหานคร,,,,,,
,หจก. ซี เเอนด์ เอ็น บุ๊ค,,,82,ซอยพุทธบูชา 44,,เขตทุ่งครุ,กรุงเทพมหานคร,,,,,,
,บริษัท ไพรม์บ๊อกซ์ เอ็มเอฟจี จำกัด,,,111 หมู่ที่ 7,ซอยมหาชัย,,อำเภอบางพลี,สมุทรปราการ,,,,,,
,โรงงาน SKIC-WS - สยามคราฟท์อุต,,,99 หมู่ 6,,,ท่าม่วง,กาญจนบุรี,,,,,,
,บริษัท ปาธัช จำกัด,,,"895,896 หมู่ที่ 5",,,,สมุทรปราการ,,,,,,
,โรงงาน บริษัท เค-เฟรช จำกัด,,,โรงงาน 139/5 หมู่ 2,,,บ้านแพ้ว,สมุทรสาคร,,,,,,
,บริษัท ไทย อันเป่า ผลิตภัณฑ์กระดาษ,,,43/244 หมู่ที่ 4,,,ปลวกแดง,ระยอง,,,,,,
,เสริมศิริกิจ,,,888/27 ซอยบ้านเช่า,,,,สมุทรสาคร,,,,,,
,โรงเรียนธรรมภิรักษ์,,,22,,,เขตบางพลัด,กรุงเทพมหานคร,,,,,,
,สำนักงานส่งเสริมการปกครองท้องถิ่น,,,ศาลากลางจังหวัดปทุมธานี,,,เมือง,ปทุมธานี,,,,,,
,กองการพิมพ์ กรมที่ดิน,,,,ซอยบรมราชชนนี 46,,เขตตลิ่งชัน,กรุงเทพมหานคร,,,,,,
,สาขาพะเยา - บริษัท สยามแม็คโคร,,,459/5 ถนนพหลโยธิน,,,,พะเยา,,,,,,
,โรงเรียนวัดนายโรง,,,685/2,,,เขตบางกอกน้อย,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,"199,199/1,199/2 หมู่6 ห้อง G-03",,,อำเภอบางใหญ่,นนทบุรี,,,,,,
,โรงพยาบาลบางบ่อ,,,89 หมู่ 1,,,อำเภอบางบ่อ,สมุทรปราการ,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,7/1 อาคารเทสโก้ โลตัส,,,เขตดินแดง,กรุงเทพมหานคร,,,,,,
,ห้างหุ้นส่วนจำกัด ศึกษาภัณฑ์,,,149/6-7,,,เมือง,กาญจนบุรี,,,,,,
,ร้านแจ่มเจริญศึกษาภัณฑ์,,,,,,,นครนายก,,,,,,
,พิษณุโลก2 - บริษัท สยามแม็คโคร,,,410/4 หมู่ที่ 7,,,เมือง,พิษณุโลก,,,,,,
,บริษัท เทพผดุงพรมะพร้าว จำกัด,,,5/895,,,เขตบางกอกน้อย,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,3109,,,เขตบางกะปิ,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,99 ชั้น2 หมู่ที่1,,,อำเภอปากเกร็ด,นนทบุรี,,,,,,
,โกดัง 2 (บีอาร์ บูรพา),,,119 หมู่ 5,,,หนองใหญ่,ชลบุรี,,,,,,
,บริษัท ง่วนซุ่นเต็ก,,,96 หมูที่ 7,,,อำเภอบางบัวทอง,นนทบุรี,,,,,,
,บริษัท ฟูจิ ซีล แพคเกจจิ้ง,,,242/2 หมู่ที่ 1,,,อำเภอเมืองสมุทรปราการ,สมุทรปราการ,,,,,,
,บริษัท ความสัมพันธ์ จำกัด,,,55/1-4 หมู่ที่ 7,,,อำเภอบางกรวย,นนทบุรี,,,,,,
,โรงงาน เวอร์เท็กซ์ เทรดดิ้ง (ใหม่),,,101/56 หมู่ที่ 20,,,คลองหลวง,ปทุมธานี,,,,,,
,บริษัท เทพผดุงพรมะพร้าว จำกัด,,,99 หมู่ที่ 4 ,ซอยกระทุ่มล้ม 27,,สามพราน,นครปฐม,,,,,,
,กรมที่ดิน คลังพัสดุ 3,,,,,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,"69,69/1,69/2 ห้องเลขที่G02 ชั้น1",,,เขตลาดพร้าว,กรุงเทพมหานคร,,,,,,
,หจก.พีเอ็น เค การพิมพ์,,,5,ซอยเพชรเกษม 81,,เขตหนองแขม,กรุงเทพมหานคร,,,,,,
,ห้างหุ้นส่วนจำกัด แกรนด์,,,92/39 ,ซอยพัฒนาการ40,,เขตสวนหลวง,กรุงเทพมหานคร,,,,,,
,โครงการสวนดุสิต กราฟฟิคไซท์,,,295 มหาวิทยาลัยราชภัฏสวนดุสิต,,,เขตดุสิต,กรุงเทพมหานคร,,,,,,
,นิคมสินสาคร,,,30/145 หมู่ที่ 1,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท ซินเนอร์จี้ แพค จำกัด,,,84/23 หมู่ที่ 4,,,เมือง,สมุทรสาคร,,,,,,
,องค์การส่งเสริมกิจการโคนม,,,160,,,มวกเหล็ก,สระบุรี,,,,,,
,บริษัท สยาม คอนเวิร์ทติ้ง จำกัด,,,95/38 หมู่ 8,ซอยสุขสวัสดิ์,,อำเภอพระสมุทรเจดีย์,สมุทรปราการ,,,,,,
,หจก.โชคภูชิชย์ ขนส่ง,,,ศูนย์ขนส่งพุทธมณฑล สาย 4,,,สามพราน,นครปฐม,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,7/222 ห้องเลขที่ B01 ชั้นB,,,เขตบางกอกน้อย,กรุงเทพมหานคร,,,,,,
,ร้านกิ่งทอง สเตชั่นเนอรี่,,,,,,เขตคลองเตย,กรุงเทพมหานคร,,,,,,
,โกดังกรกฤชเปเปอร์ วงแหวนตะวันออก,,,11,ซอยเฉลิมพระเกียรติ ร.9,,เขตประเวศ,กรุงเทพมหานคร,,,,,,
,ห้างหุ้นส่วนจำกัด คลังเครื่องเขียน,,,305/6-7-8,,,เมือง,พิษณุโลก,,,,,,
,โรงงานใหม่ ยูนิเวอร์แซล - สมุทรสาคร,,,88/42 หมู่ 9,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,"ห้องเลขที่ 202 ชั้น2 เลขที่ 8,9/8",,,พระพรหม,นครศรีธรรมราช,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,เลขที่ 89 หมู่8,,,อำเภอบางพลี,สมุทรปราการ,,,,,,
,โรงงานใหม่รอยัลไร่ขิง,,,123 หมู่ ที่ 10 ตำบลไร่ขิง,,,สามพราน,นครปฐม,,,,,,
,บริษัท ธนกรเปเปอร์วัน จำกัด,,,122  หมู่ 5,ซอยบางด้วน,,อำเภอเมืองสมุทรปราการ,สมุทรปราการ,,,,,,
,บริษัท ไทย เคเค อุตสาหกรรม จำกัด,,,29/1 หมู่ที่ 5 ,ซอยธรรมศิริ,,อำเภอบางเสาธง,สมุทรปราการ,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,เลขที่449 หมู่ที่5 ชั้น1F,,,เมือง,สุพรรณบุรี,,,,,,
,กรีนเวิลด์เปเปอร์,,,เลขที่ 9/5 หมู่ 10,,,ลาดหลุมแก้ว,ปทุมธานี,,,,,,
,องค์การบริหารส่วนจังหวัดระยอง,,,140 หมู่ 2,,,เมือง,ระยอง,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,ชั้นที่ 1F เลขที่ 110 หมู่ที่ 9,,,เมือง,กาญจนบุรี,,,,,,
,บริษัท นิสชิน ฟูดส์ (ไทยแลนด์),,,83/43 หมู่ที่ 19,,,คลองหลวง,ปทุมธานี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,อาคารศูนย์การค้าบิ๊กซี,,,อำเภอพระประแดง,สมุทรปราการ,,,,,,
,สำนักพิมพ์รามคำแหง อาคาร 2,,,อ.สำนักพิมพ์รามคำแหง,,,เขตบางกะปิ,กรุงเทพมหานคร,,,,,,
,บางบัวทอง - บริษัท สยามแม็คโคร,,,47 หมู่ที่ 2,,,อำเภอบางบัวทอง,นนทบุรี,,,,,,
,ห้างหุ้นส่วนจำกัด อัลเทอร์เนทพลัส,,,216,,,หาดใหญ่,สงขลา,,,,,,
,ร้าน เคพี,,,36,,,เมือง,สระแก้ว,,,,,,
,อาคาร 2 ชั้นใต้ดิน,,,555,,,เขตจตุจักร,กรุงเทพมหานคร,,,,,,
,อาคาร 6 ชั้น1,,,555,,,เขตจตุจักร,กรุงเทพมหานคร,,,,,,
,สำนักงานสภาความมั่นคงแห่งชาติ,,,1 ทำเนียบรัฐบาล,,,เขตดุสิต,กรุงเทพมหานคร,,,,,,
,ร้าน คลังวิทยา จ.สระแก้ว,,,1/34-5,,,อรัญประเทศ,สระแก้ว,,,,,,
,ห้างหุ้นส่วนจำกัด เอ็ม.อี.ซี.,,,4/2 หมู่ที่ 2,,,กระทุ่มแบน,สมุทรสาคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,ชั้นที่ 1 เลขที่ 162 หมู่ที่ 1,,,บ้านลาด,เพชรบุรี,,,,,,
,โกดังพุทธมณฑล สาย8,,,8/18 หมู่ 4,,,นครชัยศรี,นครปฐม,,,,,,
,บจก. แหลมฉบังเครื่องเขียน(1995),,,88/9-12 หมู่9,,,ศรีราชา,ชลบุรี,,,,,,
,ร้าน วิชาภัณฑ์,,,416-417 หมู่ 10,,,วิหารแดง,สระบุรี,,,,,,
,บริษัท ไทยรวมสินพัฒนาอุตสาหกรรม,,,94/6 หมู่ที่ 7,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,129 ชั้นที่ 1 เลขที่ 177,,,เขตบางกะปิ,กรุงเทพมหานคร,,,,,,
,ร้าน ทวีภัณฑ์,,,103/1,,,เมือง,สระแก้ว,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,อาคาร เทสโก้ โลตัส เลขที่ 191,,,เมือง,กระบี่,,,,,,
,สมไทย โกดัง สาย 8,,,8/18 หมู่ 4,,,นครชัยศรี,นครปฐม,,,,,,
,บริษัท ไทย เปเปอร์ ดี จำกัด,,,284 หมู่ที่ 1,,,กระทุ่มแบน,สมุทรสาคร,,,,,,
,"BANK OF AMERICA,",,,WIRELESS ROAD 87/2,,,เขตปทุมวัน,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,ศูนย์การค้าเซ็นทรัลพลาซา นครราชสีมา,,,เมือง,นครราชสีมา,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,อาคารเซ็นทรัลพลาซา มหาชัย,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท พีรุ่งโรจน์การพิมพ์,,,844/7-9 ซอย 25,,,เขตราชเทวี,กรุงเทพมหานคร,,,,,,
,โรงงาน บีเอ็ม พริ้นท์ติ้ง,,,51/161-162 หมู่ 4,,,เขตตลิ่งชัน,กรุงเทพมหานคร,,,,,,
,บริษัท สหออฟฟิศ จำกัด,,,186 หมู่ 21,ซอยเพชรงาม,,อำเภอบางพลี,สมุทรปราการ,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,98/103 หมู่13 อาคารเทสโก้ โลตัส,,,คลองหลวง,ปทุมธานี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,ศูนย์การค้าเซ็นทรัลพลาซ่าขอนแก่น,,,เมือง,ขอนแก่น,,,,,,
,สำนักงานกองบัญชาการกองทัพไทย,,,127 อาคาร 13 ชั้น2,,,เขตหลักสี่,กรุงเทพมหานคร,,,,,,
,คณะศิลปศาสตร์ อาคารจอมไตร,,,1,,,เขตลาดกระบัง,กรุงเทพมหานคร,,,,,,
,ห้างหุ้นส่วนจำกัด เปเปอร์ แอนด์,,,"406/54,56",,,เขตคลองสามวา,กรุงเทพมหานคร,,,,,,
,ศูนย์กระจายสินค้า RDC บุรีรัมย์,,,เลขที่ 46 หมู่ 5,,,เมือง,บุรีรัมย์,,,,,,
,บริษัท สุนทรธุรกิจ (2016) จำกัด,,,167/14-15,,,เขตพระนคร,กรุงเทพมหานคร,,,,,,
,โกดัง ภัทรคอนเทนเนอร์,,,4/21 หมู่ที่ 13,,,เขตหนองจอก,กรุงเทพมหานคร,,,,,,
,คลังสุวินทวงศ์,,,36/5 หมู่4,,,เมือง,ฉะเชิงเทรา,,,,,,
,บริษัท บางบอนอุตสาหกรรม จำกัด,,,2,ซอยเอกชัย 60,,เขตบางบอน,กรุงเทพมหานคร,,,,,,
,บริษัท โรงพิมพ์รตนพร จำกัด,,,111/21-22 ,ซอยองครักษ์ 13,,เขตดุสิต,กรุงเทพมหานคร,,,,,,
,ห้องทำข้อสอบ คณะครุศาสตร์,,,1,,,เขตลาดกระบัง,กรุงเทพมหานคร,,,,,,
,บริษัท ไฮแลนด์ อุตสาหกรรม จำกัด,,,33/14-15 หมู่ที่ 8,,,ตำบลบางตลาด,นนทบุรี,,,,,,
,สถาบันวิจัยและเทคโนโลยี ปตท.,,,71 หมู่ 2,,,วังน้อย,อยุธยา,,,,,,
,บริษัท กู้เกียรติ บรรจุภัณฑ์ จำกัด,,,59/5 หมู่ 3 ,ซอยวัดเสาธงกลาง,,อำเภอบางเสาธง,สมุทรปราการ,,,,,,
,ร้าน อักษรภัณฑ์,,,53 หมู่ 6,,,อู่ทอง,สุพรรณบุรี,,,,,,
,ธิติวัฒน์ การพิมพ์,,,107/6 หมู่ 7,,,อำเภอบางกรวย,นนทบุรี,,,,,,
,บริษัท พรีซิชั่น พริ้นท์ จำกัด,,,30/139 หมู่ที่1,,,เมือง,สมุทรสาคร,,,,,,
,GCS (โกดัง),,,2/2 หมู่ 11,,,คลองหลวง,ปทุมธานี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,อาคาร เดอะ ซีซันส์ มอลล์,,,เขตพญาไท,กรุงเทพมหานคร,,,,,,
,บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์,,,เลขที่ 28 หมู่3,,,คลองหลวง,ปทุมธานี,,,,,,
,บริษัท กิจโกศลบุ๊คเซนเตอร์ จำกัด,,,"4/84,4/85,4/86,4/87",,,เมือง,สุพรรณบุรี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,อาคาร อัศวรรณ ช้อปปิ้ง คอมเพล็กซ์2,,,เมือง,หนองคาย,,,,,,
,สตาร์สเตชันเนอรี่ (โกดังใหม่),,,44/7-8 หมู่2 ,ซอยวัดส้มเกลี้ยง,,อำเภอบางใหญ่,นนทบุรี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,อาคารเทสโก้โลตัส ห้อง036P2031,,,เขตราษฎร์บูรณะ,กรุงเทพมหานคร,,,,,,
,บริษัท ปิยะญาดา จำกัด,,,58/67 หมู่ที่ 1,,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,บริษัท แอล แอนด์ พี เทรดดิ้ง,,,1/182 หมู่ 7,,,อำเภอเมืองสมุทรปราการ,สมุทรปราการ,,,,,,
,บางนาตราด - บริษัท ดูโฮม จำกัด,,,กม.38,,,บางปะกง,ฉะเชิงเทรา,,,,,,
,พระราม 2 - บริษัท ดูโฮม จำกัด,,,88/8 หมู่ 2,,,เมือง,สมุทรสาคร,,,,,,
,บางบัวทอง - บริษัท ดูโฮม จำกัด,,,88 หมู่ 5,,,อำเภอบางบัวทอง,นนทบุรี,,,,,,
,บริษัท เคที แพ็คเกจจิ้ง,,,44815,,,เมือง,นครปฐม,,,,,,
,สาขากบินทร์บุรี - บริษัท สยามแม็คโคร,,,200 หมู่ที่ 8,,,กบินทร์บุรี,ปราจีนบุรี,,,,,,
,บริษัท ซันเปเปอร์ แพคเกจจิ้ง 59,,,"151,152,153 หมู่ที่ 1",,,บางเลน,นครปฐม,,,,,,
,บริษัท บริหารสินทรัพย์ กรุงเทพพาณิชย์,,,99,,,เขตบางรัก,กรุงเทพมหานคร,,,,,,
,คลังรามอินทรา 34,,,8,ซอยรามอินทรา 34 แยก 14,,เขตบางเขน,กรุงเทพมหานคร,,,,,,
,บริษัท เอส ไอ จี คอมบิบล็อค จำกัด,,,33 หมู่ที่ 4,,,ปลวกแดง,ระยอง,,,,,,
,กรมพัฒนาสังคมและสวัสดิการ,,,1034,,,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,,,,,,
,สาขาบางช้าง-บริษัท ทีเอเค แพ็ค,,,103 หมู่ที่ 10,,,สามพราน,นครปฐม,,,,,,
,บริษัท ซุปเปอร์ เทรด จำกัด,,,105,,,เขตหนองแขม,กรุงเทพมหานคร,,,,,,
,RDC หาดใหญ่,,,315 หมู่ที่ 5,,,บางกล่ำ,สงขลา,,,,,,
,แกรนด์ โอ เอ ซัพพลาย,,,92/39 ,ซอยพัฒนาการ 40,,เขตสวนหลวง,กรุงเทพมหานคร,,,,,,
,ห้างหุ้นส่วนจำกัด เอส พี ซัพพลาย,,,312/34 หมู่ที่ 9,,,เมือง,นครปฐม,,,,,,
,ห้างหุ้นส่วน สยามวัฒนาเปเปอร์,,,58,ซอยรองเมือง 3,,เขตปทุมวัน,กรุงเทพมหานคร,,,,,,
,คณะเเพทยศาสตร์,,,1,,,เขตลาดกระบัง,กรุงเทพมหานคร,,,,,,
,บริษัท ซิลเวอร์ 929 จำกัด,,,56/4 หมู่ที่ 12,,,อำเภอบางใหญ่,นนทบุรี,,,,,,
,บริษัท สมใจบิซกรุ๊ป จำกัด สาขา,,,33/178 หมู่ที่ 10,,,กระทุ่มแบน,สมุทรสาคร,,,,,,
,บริษัท สยาม วันเดอร์ไลน์ จำกัด,,,30/140 หมู่6 ,ซอยงามวงศ์วาน 47,,เขตหลักสี่,กรุงเทพมหานคร,,,,,,
,บริษัท บินบน ลอรีเทรด จำกัด,,,234 หมู่ที่ 2,,,เมือง,นครสวรรค์,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,อาคารโรบินสัน ลาดกระบัง,,,เขตลาดกระบัง,กรุงเทพมหานคร,,,,,,
,สำนักงาน ป.ป.ช. ภาค 1,,,361,,,อำเภอเมืองนนทบุรี,นนทบุรี,,,,,,
,บริษัท ซีพี ออลล์ จำกัด (มหาชน),,,เลขที่ 144 หมู่ 6,,,เก้าเลี้ยว,นครสวรรค์,,,,,,
,บริษัท ยูไนเต็ด1999 พลัซ จำกัด,,,1,ซอยข้างอำเภอ,,เมือง,ระยอง,,,,,,
,โกดัง-สะแกงาม 28 บริษัท เบนลี่คอม,,,42,ซอยสะแกงาม 28,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,ห้างหุ้นส่วนจำกัด วุฒิชัยเปเปอร์,,,161,,,บางสะพาน,ประจวบคีรีขันธ์,,,,,,
,บริษัท เตียวฮะเฮง 1999 จำกัด,,,160/2-3 หมู่ที่ 9,,,เมือง,นครศรีธรรมราช,,,,,,
,บริษัท พี พริ้นติ้ง เปเปอร์ จำกัด,,,93/3 หมู่ 1,,,จอมบึง,ราชบุรี,,,,,,
,บริษัท ที.เอส. เปเปอร์ทิ้ว จำกัด,,,47,ซอยสะแกงาม 29,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,โรงงาน ไฮแลนด์ สาขา1,,,9 หมู่ที่ 6,,,ลาดหลุมแก้ว,ปทุมธานี,,,,,,
,บริษัท โรงพิมพ์บิ๊กเอ็มเค,,,72/9 หมู่ที่ 7,,,บางซ้าย,อยุธยา,,,,,,
,บริษัท กระดาษใต้ จำกัด,,,139/4 หมู่ที่ 8,,,หาดใหญ่,สงขลา,,,,,,
,ปิยมิตร,,,214/1 หมู่ 4,,,ทับสะแก,ประจวบคีรีขันธ์,,,,,,
,อาคารรัฐสภา เกียกกาย,,,,,,เขตดุสิต,กรุงเทพมหานคร,,,,,,
,คลังสินค้า ลีเรคโก (ประเทศไทย) ใหม่,,,88/169 หมู่15,,,อำเภอบางเสาธง,สมุทรปราการ,,,,,,
,โกดังร้านธนภัณฑ์2,,,120/1031 หมู่ 2 ,ซอยอู่ทอง37/19,,อำเภอเมืองสมุทรปราการ,สมุทรปราการ,,,,,,
,บริษัท ปกรณ์ พริ้นติ้งแลนด์ จำกัด,,,เลขที่ 145/13 หมู่ที่ 8,,,บ้านค่าย,ระยอง,,,,,,
,บริษัท ยงเจริญศูนย์เครื่องเขียน,,,2 .,ซอยรองเมือง 2 พระราม 6,,เขตปทุมวัน,กรุงเทพมหานคร,,,,,,
,บริษัท พิค อะ บ็อกซ์ บรรจุภัณฑ์,,,"999/111, 999/112 หมู่ที่ 20",,,อำเภอบางพลี,สมุทรปราการ,,,,,,
,บริษัท ดูโฮม จำกัด (มหาชน),,,เลขที่ 37-47,,,วารินชำราบ,อุบลราชธานี,,,,,,
,นครราชสีมา - บริษัท ดูโฮม จำกัด,,,412 หมู่ 2,,,เมือง,นครราชสีมา,,,,,,
,ขอนแก่น - บริษัท ดูโฮม จำกัด,,,678 หมู่ 2,,,เมือง,ขอนแก่น,,,,,,
,สุรินทร์ - บริษัท ดูโฮม จำกัด,,,483 หมู่ 10,,,เมือง,สุรินทร์,,,,,,
,มาบตาพุด - บริษัท ดูโฮม จำกัด,,,288/88 อาคารดูโฮม,,,มาบตาพุด,ระยอง,,,,,,
,บริษัท แปซิฟิค ชีท แอนด์,,,เลขที่ 7/275 หมู่ที่ 6,,,ปลวกแดง,ระยอง,,,,,,
,บริษัท เสบียงพาณิชย์เทรดดิ้ง จำกัด,,,88/10 หมู่ที่ 5,,,เมือง,นครปฐม,,,,,,
,กรมการค้าภายใน,,,563,,,อำเภอเมืองนนทบุรี,นนทบุรี,,,,,,
,โรงงาน อยู่เจริญ ท่าจีน,,,,ซอย 1 โครงการอยู่เจริญ ท่าจีน,,เมือง,สมุทรสาคร,,,,,,
,แหลมฉบัง-บริษัท ดูโฮม จำกัด (มหาชน),,,88/111 หมู่ที่ 4,,,บางละมุง,ชลบุรี,,,,,,
,ศูนย์หนังสือมหาวิทยาลัยเกษตรศาสตร์,,,อาคารวิทยบริการ เลขที่ 50,,,เขตจตุจักร,กรุงเทพมหานคร,,,,,,
,บริษัท กู๊ด บ็อกซ์ แพ็ค จำกัด,,,เลขที่ 1/2 หมู่ที่ 9,,,สามพราน,นครปฐม,,,,,,
,วุฒิชัย เปเปอร์ ราชบุรี,,,175/6 หมู่4,,,เมือง,ราชบุรี,,,,,,
,บริษัท โรงพิมพ์นิยมกิจ (1994) จำกัด,,,เลขที่ 199 หมู่ที่ 8,,,ดำเนินสะดวก,ราชบุรี,,,,,,
,ร้าน เอ็กซ์แซค อาร์.ที.ที.พี,,,"22,22/1,22/2 ",ซอยเอกชัย 76,,เขตบางบอน,กรุงเทพมหานคร,,,,,,
,สาขาสกลนคร-บริษัท คลังออฟฟิศซัพพลาย,,,เลขที่ 1446/54 ถนนยุวพัฒนา,,,เมือง,สกลนคร,,,,,,
,สาขาเมืองร้อยเอ็ด-,,,95,,,เมือง,ร้อยเอ็ด,,,,,,
,สาขาพนมสารคาม-บริษัท โคเมริ,,,1648/5 หมู่ 1,,,พนมสารคาม,ฉะเชิงเทรา,,,,,,
,บริษัท วรศิลป์กราฟฟิค จำกัด,,,เลขที่ 159 ถนนท่าข้าม,,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,บริษัท ธนเชษฐ์ จำกัด,,,149/115 หมู่ 13,,,กระทุ่มแบน,สมุทรสาคร,,,,,,
,บริษัท วันเนอร์ สเตชั่นเนอรี่ จำกัด,,,1334/78 1334/79,,,เมือง,ปราจีนบุรี,,,,,,
,โกดังหัวกระบือ,,,15/200 หมู่ที่ 1,,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,บริษัท ซีซีแอล ลาเบิล (ไทย) จำกัด,,,69/2 หมู่ที่ 5,,,บางปะกง,ฉะเชิงเทรา,,,,,,
,บริษัท แอดไวซ์ ไอที อินฟินิท จำกัด,,,74/1 หมู่ 1,,,อำเภอปากเกร็ด,นนทบุรี,,,,,,
,บริษัท สุขสวัสดิ์เปเปอร์ จำกัด,,,447,ถนนเพชรเกษม,,เขตภาษีเจริญ,กรุงเทพมหานคร,,,,,,
,บริษัท จิรวัฒน์เปเปอร์ จำกัด,,,48/2 ,ซอยพรหมประเสริฐ 2,,เมือง,ชัยนาท,,,,,,
,โกดัง โกลบอล แสมดำ 14,,,16/2-16/3 ,ซอยแสมดำ 14 ถนนแสมดำ #,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,บริษัท แหลมฉบังเครื่องเขียน (1995),,,88/9-12 หมู่ที่ 9,,,ศรีราชา,ชลบุรี,,,,,,
,บริษัท ชัยวัฒนา ออฟฟิศ ซัพพลาย,,,2-3 ประชาร่วมใจ,,,สามพราน,นครปฐม,,,,,,
,บจก. แหลมทองศึกษาภัณฑ์,,,1195/4 หมู่ที่ 1,,,พนมสารคาม,ฉะเชิงเทรา,,,,,,
,สาขาอิมพิเรียล สำโรง,,,999 หมู่ที่ 1,ถนนสุขุมวิท,,อำเภอเมืองสมุทรปราการ,สมุทรปราการ,,,,,,
,โกดัง ฮูทามากิ,,,เลขที่ 60/6 หมู่ 2,,,เมือง,สมุทรสาคร,,,,,,
,สนง. ป้องกันและปราบปรามยาเสพติด,,,5,,,เขตพญาไท,กรุงเทพมหานคร,,,,,,
,บริษัท เอ็นเอสเอสที เอนเตอร์ไพรส์,,,39/5 หมู่ที่ 2,,,ลาดหลุมแก้ว,ปทุมธานี,,,,,,
,บริษัท อารีย์อภิรักษ์ จำกัด,,,86 หมู่ที่ 4,ซอยวัดโคก,,เมือง,ปทุมธานี,,,,,,
,โกดังร้านไรซ์เปเปอร์,,,104/33-36 ,ซอย เพชรเกษม 63/4,,เขตบางแค,กรุงเทพมหานคร,,,,,,
,โรงงาน2 มาสเตอร์ฟอร์ม,,,เลขที่31 ,ซอยโพธิ์แก้ว3 แยก6,,เขตบางกะปิ,กรุงเทพมหานคร,,,,,,
,ศูนย์กระจายสินค้า คลัง2,,,28/1 หมู่ที่ 10,,,บางปะกง,ฉะเชิงเทรา,,,,,,
